x,y,vx,vy,I,L,R,J,LJ,RJ
0,0,0,0,0,0,0,0,0,0
0,0,0,1,3.3431046,6.9461794,6.07887,11.476595,7.0158424,7.1617646
0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,1,-2.5769799,-8.28777,-1.6410025,-1.3748825,-5.986021,-4.274643
0,0,1,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,0,2,1,-2.2437081,-2.334782,-0.9865274,-1.0253313,-2.2913318,-1.1488236
0,0,2,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,2,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0
0,2,0,0,0,0.9985445,0,0,-0.3783353,-0.53546613
0,2,0,1,0,0,0,0,0.90272015,-0.2243661
0,2,0,2,0,0,0,0,0,3.852352
0,2,1,0,-0.29220685,-0.1676785,0,0,0.2539864,-0.31742087
0,2,1,1,-0.18402922,0,0,0,-0.08770019,0.36706132
0,2,1,2,0,0,0,0,1.1676285,-0.01261273
0,2,2,0,0,0,0.10022447,0.35564992,0,0.34481198
0,2,2,1,0,0,0,0,0,0
0,2,2,2,0,0,0,0.6079042,0,0.74044245
0,3,0,0,0,0,0,0,0,0
0,3,0,1,0,0,0,0,0,0
0,3,0,2,0,0,1.5892376,2.8539176,1.1752077,0
0,3,1,0,0,-1.0288666,-0.27775502,-0.9097768,-0.9893886,-0.7778205
0,3,1,1,0,0,0,0,-0.11753738,0
0,3,1,2,0,0,0,0,-1.0143445,2.2702641
0,3,2,0,-0.75404865,0,-0.28308254,0,0,-0.81475765
0,3,2,1,0,0,0,0,0,0
0,3,2,2,0,0,0,1.2205637,0.06414333,2.8097408
0,4,0,0,0,1.1412756,0,0,1.8152068,0
0,4,0,1,0,0,0,0,0,0
0,4,0,2,0,0,0,2.9634104,6.102086,2.8001125
0,4,1,0,0,-0.80076087,-0.6315097,0,-0.85829973,-0.7650034
0,4,1,1,0,0,0,0,-2.190119,0
0,4,1,2,0,0.369704,0,0,0,1.2606852
0,4,2,0,0,0,-1.2026223,0,-0.11841221,-0.6568262
0,4,2,1,0,0,0,0,0,0
0,4,2,2,0,0,1.136746,0,0,2.5664937
0,5,0,0,0,3.0393429,0,0,1.7465628,1.5154221
0,5,0,1,0,-0.4619796,0,0,-0.36215928,0
0,5,0,2,0,-0.5474831,0,0,-0.5593719,2.1477623
0,5,1,0,0,-0.4375989,0,0,-0.8772837,-0.53638
0,5,1,1,-0.20733868,0,0,0,0,0
0,5,1,2,-0.16866252,0,0,0,0,0.55871916
0,5,2,0,0,0,-0.58205795,0,0,-0.10881066
0,5,2,1,0,0,0,0,0,-0.08284855
0,5,2,2,0,-2.0897777,0,0,0,0.06557986
0,6,0,0,0,0,0,0,0,-0.53023213
0,6,0,1,0,0,0,0,0,0
0,6,0,2,0,0,0,0,0,0
0,6,1,0,0,0,0,0,0,0
0,6,1,1,0,0,0,0,0,0
0,6,1,2,0,0,0,0,0,0
0,6,2,0,0,0,0,0,0,0
0,6,2,1,0,0,0,0,0,0
0,6,2,2,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0.83138007
0,7,0,1,0,0,0,0,0,0
0,7,0,2,0,0,0,0,0,0
0,7,1,0,0,0,0,0,0,-0.15240791
0,7,1,1,0,0,0,0,0,0
0,7,1,2,0,0,0,0,0,0
0,7,2,0,0,0,0,0,0,-0.1522945
0,7,2,1,0,0,0,0,0,0
0,7,2,2,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,-0.3966826
0,8,0,1,0,0,0,0,0,0
0,8,0,2,0,0,0,0,0,0
0,8,1,0,0,0,0,0,0,0
0,8,1,1,0,0,0,0,0,0
0,8,1,2,0,0,0,0,0,0
0,8,2,0,0,0,0,0,0,0
0,8,2,1,0,0,0,0,0,0
0,8,2,2,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0
0,9,0,1,0,0,0,0,0,0
0,9,0,2,0,0,0,0,0,0
0,9,1,0,0,0,0,0,0,0
0,9,1,1,0,0,0,0,0,0
0,9,1,2,0,0,0,0,0,0
0,9,2,0,0,0,0,0,0,0
0,9,2,1,0,0,0,0,0,0
0,9,2,2,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0
0,10,0,1,0,0,0,0,0,0
0,10,0,2,0,0,0,0,0,0
0,10,1,0,0,0,0,0,0,0
0,10,1,1,0,0,0,0,0,0
0,10,1,2,0,0,0,0,0,0
0,10,2,0,0,0,0,0,0,0
0,10,2,1,0,0,0,0,0,0
0,10,2,2,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0
0,11,0,1,0,0,0,0,0,0
0,11,0,2,0,0,0,0,0,0
0,11,1,0,0,0,0,0,0,0
0,11,1,1,0,0,0,0,0,0
0,11,1,2,0,0,0,0,0,0
0,11,2,0,0,0,0,0,0,0
0,11,2,1,0,0,0,0,0,0
0,11,2,2,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0
0,12,0,1,0,0,0,0,0,0
0,12,0,2,0,0,0,0,0,0
0,12,1,0,0,0,0,0,0,0
0,12,1,1,0,0,0,0,0,0
0,12,1,2,0,0,0,0,0,0
0,12,2,0,0,0,0,0,0,0
0,12,2,1,0,0,0,0,0,0
0,12,2,2,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0
0,13,0,1,0,0,0,0,0,0
0,13,0,2,0,0,0,0,0,0
0,13,1,0,0,0,0,0,0,0
0,13,1,1,0,0,0,0,0,0
0,13,1,2,0,0,0,0,0,0
0,13,2,0,0,0,0,0,0,0
0,13,2,1,0,0,0,0,0,0
0,13,2,2,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0
0,14,0,1,0,0,0,0,0,0
0,14,0,2,0,0,0,0,0,0
0,14,1,0,0,0,0,0,0,0
0,14,1,1,0,0,0,0,0,0
0,14,1,2,0,0,0,0,0,0
0,14,2,0,0,0,0,0,0,0
0,14,2,1,0,0,0,0,0,0
0,14,2,2,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0
0,15,0,1,0,0,0,0,0,0
0,15,0,2,0,0,0,0,0,0
0,15,1,0,0,0,0,0,0,0
0,15,1,1,0,0,0,0,0,0
0,15,1,2,0,0,0,0,0,0
0,15,2,0,0,0,0,0,0,0
0,15,2,1,0,0,0,0,0,0
0,15,2,2,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0
0,16,0,1,0,0,0,0,0,0
0,16,0,2,0,0,0,0,0,0
0,16,1,0,0,0,0,0,0,0
0,16,1,1,0,0,0,0,0,0
0,16,1,2,0,0,0,0,0,0
0,16,2,0,0,0,0,0,0,0
0,16,2,1,0,0,0,0,0,0
0,16,2,2,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0
0,17,0,1,0,0,0,0,0,0
0,17,0,2,0,0,0,0,0,0
0,17,1,0,0,0,0,0,0,0
0,17,1,1,0,0,0,0,0,0
0,17,1,2,0,0,0,0,0,0
0,17,2,0,0,0,0,0,0,0
0,17,2,1,0,0,0,0,0,0
0,17,2,2,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0
0,18,0,1,0,0,0,0,0,0
0,18,0,2,0,0,0,0,0,0
0,18,1,0,0,0,0,0,0,0
0,18,1,1,0,0,0,0,0,0
0,18,1,2,0,0,0,0,0,0
0,18,2,0,0,0,0,0,0,0
0,18,2,1,0,0,0,0,0,0
0,18,2,2,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0
0,19,0,1,0,0,0,0,0,0
0,19,0,2,0,0,0,0,0,0
0,19,1,0,0,0,0,0,0,0
0,19,1,1,0,0,0,0,0,0
0,19,1,2,0,0,0,0,0,0
0,19,2,0,0,0,0,0,0,0
0,19,2,1,0,0,0,0,0,0
0,19,2,2,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0
0,20,0,1,0,0,0,0,0,0
0,20,0,2,0,0,0,0,0,0
0,20,1,0,0,0,0,0,0,0
0,20,1,1,0,0,0,0,0,0
0,20,1,2,0,0,0,0,0,0
0,20,2,0,0,0,0,0,0,0
0,20,2,1,0,0,0,0,0,0
0,20,2,2,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0
0,21,0,1,0,0,0,0,0,0
0,21,0,2,0,0,0,0,0,0
0,21,1,0,0,0,0,0,0,0
0,21,1,1,0,0,0,0,0,0
0,21,1,2,0,0,0,0,0,0
0,21,2,0,0,0,0,0,0,0
0,21,2,1,0,0,0,0,0,0
0,21,2,2,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,0
0,22,0,1,0,0,0,0,0,0
0,22,0,2,0,0,0,0,0,0
0,22,1,0,0,0,0,0,0,0
0,22,1,1,0,0,0,0,0,0
0,22,1,2,0,0,0,0,0,0
0,22,2,0,0,0,0,0,0,0
0,22,2,1,0,0,0,0,0,0
0,22,2,2,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0
0,23,0,1,0,0,0,0,0,0
0,23,0,2,0,0,0,0,0,0
0,23,1,0,0,0,0,0,0,0
0,23,1,1,0,0,0,0,0,0
0,23,1,2,0,0,0,0,0,0
0,23,2,0,0,0,0,0,0,0
0,23,2,1,0,0,0,0,0,0
0,23,2,2,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0
0,24,0,1,0,0,0,0,0,0
0,24,0,2,0,0,0,0,0,0
0,24,1,0,0,0,0,0,0,0
0,24,1,1,0,0,0,0,0,0
0,24,1,2,0,0,0,0,0,0
0,24,2,0,0,0,0,0,0,0
0,24,2,1,0,0,0,0,0,0
0,24,2,2,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0
0,25,0,1,0,0,0,0,0,0
0,25,0,2,0,0,0,0,0,0
0,25,1,0,0,0,0,0,0,0
0,25,1,1,0,0,0,0,0,0
0,25,1,2,0,0,0,0,0,0
0,25,2,0,0,0,0,0,0,0
0,25,2,1,0,0,0,0,0,0
0,25,2,2,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0,0
0,26,0,1,0,0,0,0,0,0
0,26,0,2,0,0,0,0,0,0
0,26,1,0,0,0,0,0,0,0
0,26,1,1,0,0,0,0,0,0
0,26,1,2,0,0,0,0,0,0
0,26,2,0,0,0,0,0,0,0
0,26,2,1,0,0,0,0,0,0
0,26,2,2,0,0,0,0,0,0
0,27,0,0,0,0,0,0,0,0
0,27,0,1,0,0,0,0,0,0
0,27,0,2,0,0,0,0,0,0
0,27,1,0,0,0,0,0,0,0
0,27,1,1,0,0,0,0,0,0
0,27,1,2,0,0,0,0,0,0
0,27,2,0,0,0,0,0,0,0
0,27,2,1,0,0,0,0,0,0
0,27,2,2,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0
0,28,0,1,0,0,0,0,0,0
0,28,0,2,0,0,0,0,0,0
0,28,1,0,0,0,0,0,0,0
0,28,1,1,0,0,0,0,0,0
0,28,1,2,0,0,0,0,0,0
0,28,2,0,0,0,0,0,0,0
0,28,2,1,0,0,0,0,0,0
0,28,2,2,0,0,0,0,0,0
0,29,0,0,0,0,0,0,0,0
0,29,0,1,0,0,0,0,0,0
0,29,0,2,0,0,0,0,0,0
0,29,1,0,0,0,0,0,0,0
0,29,1,1,0,0,0,0,0,0
0,29,1,2,0,0,0,0,0,0
0,29,2,0,0,0,0,0,0,0
0,29,2,1,0,0,0,0,0,0
0,29,2,2,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0
0,30,0,1,0,0,0,0,0,0
0,30,0,2,0,0,0,0,0,0
0,30,1,0,0,0,0,0,0,0
0,30,1,1,0,0,0,0,0,0
0,30,1,2,0,0,0,0,0,0
0,30,2,0,0,0,0,0,0,0
0,30,2,1,0,0,0,0,0,0
0,30,2,2,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,0
0,31,0,1,0,0,0,0,0,0
0,31,0,2,0,0,0,0,0,0
0,31,1,0,0,0,0,0,0,0
0,31,1,1,0,0,0,0,0,0
0,31,1,2,0,0,0,0,0,0
0,31,2,0,0,0,0,0,0,0
0,31,2,1,0,0,0,0,0,0
0,31,2,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,1,-6.347058,-6.6765594,-2.4323378,-3.415246,-5.4820304,-2.3486679
1,0,0,2,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,1,1,-0.6123878,-1.2509813,-0.98787177,-0.34688774,-1.30389,-0.92426807
1,0,1,2,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0
1,0,2,1,-0.8337198,-2.2068074,-0.8558592,-0.7227553,-0.8761481,-0.83137584
1,0,2,2,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0
1,1,0,2,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0
1,1,2,2,0,0,0,0,0,0
1,2,0,0,0,-1.5385178,0,0,-1.3412619,-2.529233
1,2,0,1,0,0,-0.16719514,0.4351934,0,0
1,2,0,2,0,0,-0.12271219,-0.89597744,0,-1.7804412
1,2,1,0,0,0,0,0,0,0
1,2,1,1,0,0,0,0,0,0
1,2,1,2,0,0,0,0,0,0
1,2,2,0,0.113175035,0,0,0,0,0.32298943
1,2,2,1,0,0,0,0,0,0.29857075
1,2,2,2,0,0,0,0,0,1.5949692
1,3,0,0,0,-0.29534844,0,0,0,-0.5817148
1,3,0,1,0,0,0,0,0,0
1,3,0,2,0,0,0.3105097,-1.4615208,-1.7271674,-0.485059
1,3,1,0,0,0,0,0,0,-0.61461955
1,3,1,1,0,0,0,0,0,0
1,3,1,2,0,0,0,0,0,0
1,3,2,0,-0.789691,0,-0.8405146,0,-0.78460246,-0.64745706
1,3,2,1,0,0,0,0,-0.055374224,0
1,3,2,2,0,0,0,1.040376,1.086417,1.5784256
1,4,0,0,0,-3.039952,0,0,-4.2149515,-0.15012668
1,4,0,1,-0.12004297,0,0,0,-0.10459452,0
1,4,0,2,0,0.34580767,-2.0348542,-1.5309498,1.5437833,0
1,4,1,0,0,0,0,0,0,-0.2147615
1,4,1,1,0,0,0,0,0,0
1,4,1,2,0,0,0,0.23494159,0,0
1,4,2,0,0,0,-0.7702419,0,-0.63538885,-0.45421028
1,4,2,1,0,0,0,0,0,-0.029773656
1,4,2,2,0,0,0,0,1.0593796,2.8128967
1,5,0,0,0,-0.47048455,0,-2.7178857,0,-0.351938
1,5,0,1,-0.10282489,0,0,-0.14283633,0,0
1,5,0,2,-0.076630436,-0.057061028,0,0,-2.0121315,0
1,5,1,0,0,0,0,0,0,0
1,5,1,1,0,0,0,0,0,0
1,5,1,2,0,0,0,0,0,0
1,5,2,0,0,0,-0.1714598,0,0,-0.8321193
1,5,2,1,0,0,-0.042735316,0,0,0
1,5,2,2,0.76343465,0.25749633,0.00870452,0,0.16702376,0
1,6,0,0,-2.641425,0,0,0,0,0
1,6,0,1,-0.1530538,0,0,0,0,0
1,6,0,2,0,0,-0.10240703,0,0,0
1,6,1,0,0,0,0,0,0,0
1,6,1,1,0,0,0,0,0,0
1,6,1,2,0,0,0,0,0,0
1,6,2,0,0,0,0,0,0,-0.1810572
1,6,2,1,0,0,0,0,0,0
1,6,2,2,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0
1,7,0,1,0,0,0,0,0,0
1,7,0,2,0,0,0,0,0,0
1,7,1,0,0,0,0,0,0,0
1,7,1,1,0,0,0,0,0,0
1,7,1,2,0,0,0,0,0,0
1,7,2,0,0,0,0,0,0,-0.16019091
1,7,2,1,0,0,0,0,0,0
1,7,2,2,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,-1.3394282
1,8,0,1,0,0,0,0,0,0
1,8,0,2,0,0,0,0,0,0
1,8,1,0,0,0,0,0,0,0
1,8,1,1,0,0,0,0,0,0
1,8,1,2,0,0,0,0,0,0
1,8,2,0,0,0,0,0,0,0
1,8,2,1,0,0,0,0,0,0
1,8,2,2,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0
1,9,0,1,0,0,0,0,0,0
1,9,0,2,0,0,0,0,0,0
1,9,1,0,0,0,0,0,0,0
1,9,1,1,0,0,0,0,0,0
1,9,1,2,0,0,0,0,0,0
1,9,2,0,0,0,0,0,0,0
1,9,2,1,0,0,0,0,0,0
1,9,2,2,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0
1,10,0,1,0,0,0,0,0,0
1,10,0,2,0,0,0,0,0,0
1,10,1,0,0,0,0,0,0,0
1,10,1,1,0,0,0,0,0,0
1,10,1,2,0,0,0,0,0,0
1,10,2,0,0,0,0,0,0,0
1,10,2,1,0,0,0,0,0,0
1,10,2,2,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0,0
1,11,0,1,0,0,0,0,0,0
1,11,0,2,0,0,0,0,0,0
1,11,1,0,0,0,0,0,0,0
1,11,1,1,0,0,0,0,0,0
1,11,1,2,0,0,0,0,0,0
1,11,2,0,0,0,0,0,0,0
1,11,2,1,0,0,0,0,0,0
1,11,2,2,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0,0
1,12,0,1,0,0,0,0,0,0
1,12,0,2,0,0,0,0,0,0
1,12,1,0,0,0,0,0,0,0
1,12,1,1,0,0,0,0,0,0
1,12,1,2,0,0,0,0,0,0
1,12,2,0,0,0,0,0,0,0
1,12,2,1,0,0,0,0,0,0
1,12,2,2,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0
1,13,0,1,0,0,0,0,0,0
1,13,0,2,0,0,0,0,0,0
1,13,1,0,0,0,0,0,0,0
1,13,1,1,0,0,0,0,0,0
1,13,1,2,0,0,0,0,0,0
1,13,2,0,0,0,0,0,0,0
1,13,2,1,0,0,0,0,0,0
1,13,2,2,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0
1,14,0,1,0,0,0,0,0,0
1,14,0,2,0,0,0,0,0,0
1,14,1,0,0,0,0,0,0,0
1,14,1,1,0,0,0,0,0,0
1,14,1,2,0,0,0,0,0,0
1,14,2,0,0,0,0,0,0,0
1,14,2,1,0,0,0,0,0,0
1,14,2,2,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,0
1,15,0,1,0,0,0,0,0,0
1,15,0,2,0,0,0,0,0,0
1,15,1,0,0,0,0,0,0,0
1,15,1,1,0,0,0,0,0,0
1,15,1,2,0,0,0,0,0,0
1,15,2,0,0,0,0,0,0,0
1,15,2,1,0,0,0,0,0,0
1,15,2,2,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0
1,16,0,1,0,0,0,0,0,0
1,16,0,2,0,0,0,0,0,0
1,16,1,0,0,0,0,0,0,0
1,16,1,1,0,0,0,0,0,0
1,16,1,2,0,0,0,0,0,0
1,16,2,0,0,0,0,0,0,0
1,16,2,1,0,0,0,0,0,0
1,16,2,2,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0
1,17,0,1,0,0,0,0,0,0
1,17,0,2,0,0,0,0,0,0
1,17,1,0,0,0,0,0,0,0
1,17,1,1,0,0,0,0,0,0
1,17,1,2,0,0,0,0,0,0
1,17,2,0,0,0,0,0,0,0
1,17,2,1,0,0,0,0,0,0
1,17,2,2,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0,0
1,18,0,1,0,0,0,0,0,0
1,18,0,2,0,0,0,0,0,0
1,18,1,0,0,0,0,0,0,0
1,18,1,1,0,0,0,0,0,0
1,18,1,2,0,0,0,0,0,0
1,18,2,0,0,0,0,0,0,0
1,18,2,1,0,0,0,0,0,0
1,18,2,2,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0,0
1,19,0,1,0,0,0,0,0,0
1,19,0,2,0,0,0,0,0,0
1,19,1,0,0,0,0,0,0,0
1,19,1,1,0,0,0,0,0,0
1,19,1,2,0,0,0,0,0,0
1,19,2,0,0,0,0,0,0,0
1,19,2,1,0,0,0,0,0,0
1,19,2,2,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,0
1,20,0,1,0,0,0,0,0,0
1,20,0,2,0,0,0,0,0,0
1,20,1,0,0,0,0,0,0,0
1,20,1,1,0,0,0,0,0,0
1,20,1,2,0,0,0,0,0,0
1,20,2,0,0,0,0,0,0,0
1,20,2,1,0,0,0,0,0,0
1,20,2,2,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0,0
1,21,0,1,0,0,0,0,0,0
1,21,0,2,0,0,0,0,0,0
1,21,1,0,0,0,0,0,0,0
1,21,1,1,0,0,0,0,0,0
1,21,1,2,0,0,0,0,0,0
1,21,2,0,0,0,0,0,0,0
1,21,2,1,0,0,0,0,0,0
1,21,2,2,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0,0
1,22,0,1,0,0,0,0,0,0
1,22,0,2,0,0,0,0,0,0
1,22,1,0,0,0,0,0,0,0
1,22,1,1,0,0,0,0,0,0
1,22,1,2,0,0,0,0,0,0
1,22,2,0,0,0,0,0,0,0
1,22,2,1,0,0,0,0,0,0
1,22,2,2,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0
1,23,0,1,0,0,0,0,0,0
1,23,0,2,0,0,0,0,0,0
1,23,1,0,0,0,0,0,0,0
1,23,1,1,0,0,0,0,0,0
1,23,1,2,0,0,0,0,0,0
1,23,2,0,0,0,0,0,0,0
1,23,2,1,0,0,0,0,0,0
1,23,2,2,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0
1,24,0,1,0,0,0,0,0,0
1,24,0,2,0,0,0,0,0,0
1,24,1,0,0,0,0,0,0,0
1,24,1,1,0,0,0,0,0,0
1,24,1,2,0,0,0,0,0,0
1,24,2,0,0,0,0,0,0,0
1,24,2,1,0,0,0,0,0,0
1,24,2,2,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0,0
1,25,0,1,0,0,0,0,0,0
1,25,0,2,0,0,0,0,0,0
1,25,1,0,0,0,0,0,0,0
1,25,1,1,0,0,0,0,0,0
1,25,1,2,0,0,0,0,0,0
1,25,2,0,0,0,0,0,0,0
1,25,2,1,0,0,0,0,0,0
1,25,2,2,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0,0
1,26,0,1,0,0,0,0,0,0
1,26,0,2,0,0,0,0,0,0
1,26,1,0,0,0,0,0,0,0
1,26,1,1,0,0,0,0,0,0
1,26,1,2,0,0,0,0,0,0
1,26,2,0,0,0,0,0,0,0
1,26,2,1,0,0,0,0,0,0
1,26,2,2,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,0
1,27,0,1,0,0,0,0,0,0
1,27,0,2,0,0,0,0,0,0
1,27,1,0,0,0,0,0,0,0
1,27,1,1,0,0,0,0,0,0
1,27,1,2,0,0,0,0,0,0
1,27,2,0,0,0,0,0,0,0
1,27,2,1,0,0,0,0,0,0
1,27,2,2,0,0,0,0,0,0
1,28,0,0,0,0,0,0,0,0
1,28,0,1,0,0,0,0,0,0
1,28,0,2,0,0,0,0,0,0
1,28,1,0,0,0,0,0,0,0
1,28,1,1,0,0,0,0,0,0
1,28,1,2,0,0,0,0,0,0
1,28,2,0,0,0,0,0,0,0
1,28,2,1,0,0,0,0,0,0
1,28,2,2,0,0,0,0,0,0
1,29,0,0,0,0,0,0,0,0
1,29,0,1,0,0,0,0,0,0
1,29,0,2,0,0,0,0,0,0
1,29,1,0,0,0,0,0,0,0
1,29,1,1,0,0,0,0,0,0
1,29,1,2,0,0,0,0,0,0
1,29,2,0,0,0,0,0,0,0
1,29,2,1,0,0,0,0,0,0
1,29,2,2,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0
1,30,0,1,0,0,0,0,0,0
1,30,0,2,0,0,0,0,0,0
1,30,1,0,0,0,0,0,0,0
1,30,1,1,0,0,0,0,0,0
1,30,1,2,0,0,0,0,0,0
1,30,2,0,0,0,0,0,0,0
1,30,2,1,0,0,0,0,0,0
1,30,2,2,0,0,0,0,0,0
1,31,0,0,0,0,0,0,0,0
1,31,0,1,0,0,0,0,0,0
1,31,0,2,0,0,0,0,0,0
1,31,1,0,0,0,0,0,0,0
1,31,1,1,0,0,0,0,0,0
1,31,1,2,0,0,0,0,0,0
1,31,2,0,0,0,0,0,0,0
1,31,2,1,0,0,0,0,0,0
1,31,2,2,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
2,0,0,1,-0.5832456,-1.1048282,-0.5199194,-0.65573794,-0.6935758,-0.6235338
2,0,0,2,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0
2,0,1,1,-0.3278495,-0.6132541,-0.35533917,-0.17606685,-0.56288385,-0.36171407
2,0,1,2,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0
2,0,2,1,-0.436305,-0.7074671,-0.44648877,-0.4242229,-0.41944274,-0.43897796
2,0,2,2,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
2,1,0,1,0,0,0,0,0,0
2,1,0,2,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0
2,1,1,2,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0
2,1,2,2,0,0,0,0,0,0
2,2,0,0,-0.4563778,0,0.14551756,-0.08235417,0.21940047,1.1854731
2,2,0,1,1.9605379,-0.07210221,0,0,-0.06266684,0
2,2,0,2,0.81136334,0.037709862,0,0.85436493,0.7083805,2.4026923
2,2,1,0,0,0,0,0,0,0
2,2,1,1,0,0,0,0,0,0.64866364
2,2,1,2,0,0,0,0,0,1.2537624
2,2,2,0,0,0,-0.5586951,0,0,0.025670514
2,2,2,1,0,0,0,0,0,0.4609776
2,2,2,2,0,0,0.7297229,0,0,2.4273496
2,3,0,0,0,-0.1774868,-0.46073905,-1.5084842,-0.7960346,-1.2496246
2,3,0,1,0,0,0,0,-0.049343992,0
2,3,0,2,1.3451058,0,0,0.5578084,0,2.526268
2,3,1,0,0,0,-0.87867695,0,-0.91453856,-0.38987303
2,3,1,1,0,0,0,0,0,0
2,3,1,2,0,0.4848052,0,0,0,1.1834993
2,3,2,0,-0.16296902,0,-1.6642113,-0.6377082,-0.8732796,-0.68041366
2,3,2,1,0,0,0,0,0,0
2,3,2,2,0.8112074,1.4362445,0.70201397,1.1458558,0,3.246783
2,4,0,0,0,-0.41088343,-0.35076222,0,0,-0.47620997
2,4,0,1,0,0,0,0,0,0
2,4,0,2,0.101887144,0.4759,0,0,0,0.521791
2,4,1,0,0,0,0,0,0,0
2,4,1,1,0,0,0,0,0,0
2,4,1,2,0,0,0,0,0,0.3774409
2,4,2,0,-0.12817048,-0.17135432,-0.48697096,-0.11831155,-0.7136186,-0.42873773
2,4,2,1,0,-0.059252203,0,-0.05190743,0,0
2,4,2,2,0,0.3268822,0,0,0,2.076711
2,5,0,0,0,-0.7023339,-0.31666252,0,0,0
2,5,0,1,0,0,0,0,0,0
2,5,0,2,0,0.45362672,0,0,0,0.087026
2,5,1,0,0,0,0,0,0,0
2,5,1,1,0,0,0,0,0,0
2,5,1,2,0,0,0,0,0,0
2,5,2,0,-0.4668264,0,-0.30691835,0,-0.2345232,-0.114434
2,5,2,1,0,0,0,0,0,-0.03109149
2,5,2,2,-0.010955483,0.61782753,0.12704396,0,0,0.46710873
2,6,0,0,0,0,0,0,0,0
2,6,0,1,0,0,0,0,0,0
2,6,0,2,0,0,0.21854447,0,0,0
2,6,1,0,0,0,0,0,0,0
2,6,1,1,0,0,0,0,0,0
2,6,1,2,0,0,0,0,0,0
